Identifier Type,Identifier Value,Amortized Cost,Market Value,Accounting Intent,Type of Hedge,Hedged Risk,Hedge Interest Rate,Hedge Percentage,Hedge Horizon,Hedged Cash Flow,Sidedness,Hedging Instrument at Fair Value,Effective Portion of Cumulative Gains and Losses,ASU 2017-12 Hedge Designations
ISIN,ID437295,25847440.24,28833403.96,AFS,2,3,4,0.3912,2026-02-05,1,1,-13177537,2280431,3
CUSIP,ID276967,29977360.27,12360453.04,EQ,2,8,4,0.0995,2035-01-18,2,2,47578680,24077671,1
ISIN,ID339945,43646483.01,29041939.75,AFS,2,11,3,0.7924,2028-01-07,2,1,26767542,-31852157,3
ISIN,ID942321,48718284.99,41789256.01,EQ,2,7,4,0.8413,2029-10-27,2,2,-51406,41824837,2
CUSIP,ID226447,40334322.88,24162382.89,AFS,1,10,5,0.9888,2033-01-30,2,2,-20071241,16674826,3
CUSIP,ID159358,44310609.03,5831112.79,AFS,2,10,4,0.4644,2034-10-07,1,2,-39201943,42319229,1
SEDOL,ID762896,1403865.73,5405840.15,EQ,2,2,5,0.7117,2028-07-11,1,2,-25982271,-44023435,2
INTERNAL,ID416570,16807286.01,17530383.02,EQ,2,7,1,0.4094,2030-12-24,6,2,-19354272,34462720,3
ISIN,ID506477,41268010.38,18230002.35,EQ,1,11,2,0.0968,2029-08-05,4,1,-45291363,-34766020,3
INTERNAL,ID391862,13831576.62,29891587.07,EQ,2,5,5,0.7924,2027-12-12,3,2,-11482074,11487680,1
CUSIP,ID157969,18833794.34,4660520.04,EQ,1,9,1,0.3832,2025-07-16,4,1,-2076927,-10413879,3
ISIN,ID673050,22586813.11,44303820.39,HTM,1,3,2,0.3587,2032-12-02,3,1,-6373276,-14925046,2
SEDOL,ID561550,6002331.28,40327129.47,EQ,2,7,2,0.497,2032-01-01,6,1,42035755,15191329,3
CUSIP,ID809701,24867747.78,41009813.49,AFS,1,8,1,0.3505,2033-10-30,5,1,47881983,13810664,3
INTERNAL,ID996547,44037184.15,9863949.17,EQ,1,10,2,0.28,2030-09-06,1,1,43324061,-48200426,3
SEDOL,ID444157,23620195.91,27581066.99,EQ,1,1,4,0.1969,2031-01-31,3,1,-2079609,5810408,2
SEDOL,ID618933,7697984.97,16069617.04,EQ,1,3,1,0.6838,2030-07-26,4,1,-6847622,-43527303,3
ISIN,ID414015,3810664.25,33953014.74,AFS,2,10,3,0.0168,2027-12-19,6,2,-18452364,-33936867,3
CUSIP,ID132303,49298747.94,32165721.38,AFS,2,6,4,0.2301,2029-05-16,5,1,-2922877,-36070138,2
SEDOL,ID849603,25485349.3,2137783.22,HTM,1,5,4,0.3275,2031-07-24,6,1,13188582,-47468552,1
SEDOL,ID855061,48291021.22,35498835.85,AFS,2,4,2,0.3001,2026-07-05,5,1,18542219,-7864759,2
INTERNAL,ID647980,38846426.61,29162646.37,AFS,2,4,4,0.7213,2026-07-16,5,1,3984163,-23512303,1
ISIN,ID381007,40407223.01,30648444.16,EQ,1,6,3,0.4247,2029-01-07,1,2,-24519964,14729062,3
ISIN,ID800304,23434322.31,9572961.36,EQ,1,4,4,0.9151,2032-07-24,5,1,-21058458,901955,2
ISIN,ID925613,47469194.53,38647134.07,EQ,1,11,5,0.3669,2032-06-21,6,2,-12431613,39926499,3
SEDOL,ID330200,14046183.48,39423977.31,HTM,1,10,1,0.4253,2034-09-17,3,2,-34709738,-49896828,3
CUSIP,ID803512,33609334.63,10080642.66,AFS,1,8,5,0.536,2029-05-31,5,2,-36095649,27170943,1
SEDOL,ID633484,35020772.48,26755587.12,HTM,2,1,4,0.8655,2029-06-23,6,2,39905584,41316150,2
SEDOL,ID556538,19635275.14,22270802.2,AFS,1,5,4,0.9907,2034-05-10,2,2,21212701,32634782,3
INTERNAL,ID591121,19946233.76,17404619.71,EQ,2,3,4,0.0391,2027-08-20,5,2,-20243076,-24433243,1
INTERNAL,ID729921,37197632.06,36078720.39,HTM,2,11,5,0.0311,2031-07-12,4,1,-44803291,-18213636,1
CUSIP,ID346272,45813859.83,36278728.88,EQ,2,4,4,0.5559,2034-05-28,4,1,-1339045,-1762115,1
INTERNAL,ID311596,32436983.91,29653715.55,AFS,2,10,4,0.8981,2032-05-15,3,2,38689013,-35705493,1
CUSIP,ID296113,49127338.49,30716844.66,HTM,2,4,3,0.5765,2034-11-11,1,1,-16980789,38017503,2
SEDOL,ID623080,4677549.95,1736062.7,EQ,1,3,5,0.9859,2026-01-19,2,1,-5065416,-22541197,1
ISIN,ID351450,46090758.93,24431921.58,EQ,2,5,5,0.3155,2032-03-11,5,1,-43351212,-41379736,1
ISIN,ID659953,7350112.64,16617843.11,EQ,1,2,5,0.7329,2035-01-04,6,1,-19444537,-12112547,3
ISIN,ID492381,31703517.4,16505011.73,HTM,1,9,4,0.0115,2033-03-11,5,2,25017071,-47470481,2
CUSIP,ID498650,22682415.21,29074028.73,EQ,1,7,2,0.4906,2027-11-01,5,1,-21817194,1063283,3
INTERNAL,ID334700,31786497.14,47633587.17,HTM,1,2,1,0.1894,2031-06-20,5,2,-16446418,12279073,1
SEDOL,ID946877,19115735.81,43076133.56,EQ,1,5,1,0.382,2031-04-20,3,1,-31866008,9674162,3
CUSIP,ID503989,25534390.65,27306038.53,AFS,1,11,4,0.0866,2033-05-31,5,1,28270732,40213696,3
ISIN,ID435982,12321316.12,38261940.99,AFS,2,7,5,0.902,2027-06-09,1,1,-17335016,1944828,1
SEDOL,ID362359,47706512.61,32040356.88,EQ,1,7,2,0.4894,2034-10-08,6,2,28379542,14680508,2
SEDOL,ID300547,25117111.11,17955353.57,AFS,2,5,5,0.6296,2027-05-19,3,2,-40785525,-44322788,1
SEDOL,ID839225,26303066.5,28775585.92,HTM,2,7,3,0.5112,2033-04-21,1,2,42597086,-25643310,1
SEDOL,ID251980,4301292.27,26488841.79,AFS,1,3,5,0.6694,2026-07-10,1,1,17330521,-10118118,3
SEDOL,ID346892,20151463.32,22739358.88,AFS,2,6,1,0.004,2028-05-31,2,1,2492028,46864228,2
SEDOL,ID289725,41713466.08,39175182.36,AFS,2,9,4,0.0745,2029-07-10,2,1,-27914635,21542988,2
SEDOL,ID110506,30122252.2,22047624.91,EQ,2,2,1,0.7806,2032-04-27,3,2,16332153,9944809,2
CUSIP,ID860157,6460053.81,3269061.92,HTM,1,10,4,0.3492,2034-04-15,4,1,-19832219,24878714,1
ISIN,ID606233,43050397.03,31237051.75,AFS,1,9,1,0.1879,2031-11-18,6,1,-38481446,22620910,3
SEDOL,ID326688,10162957.72,39663735.15,AFS,1,5,5,0.796,2026-07-02,2,1,-3186641,299714,3
CUSIP,ID933965,16949178.82,36650976.49,HTM,1,3,2,0.6189,2028-12-01,1,1,45294463,-9810560,1
CUSIP,ID788929,44113774.76,23195807.96,HTM,1,2,3,0.6377,2034-07-12,5,1,73918,44625301,1
INTERNAL,ID979301,28660446.94,32643386.32,AFS,2,9,5,0.0095,2032-10-20,6,2,-43417070,-1107197,1
CUSIP,ID317898,6153294.84,37991164.2,AFS,1,2,1,0.9912,2027-04-12,6,2,7356530,12554439,2
SEDOL,ID578394,4353881.01,33407355.82,AFS,2,8,4,0.0385,2027-08-03,2,2,-36180303,12377648,2
ISIN,ID257738,48291445.42,39967424.61,HTM,2,1,1,0.2942,2032-06-18,1,1,-15519980,-13339654,3
INTERNAL,ID562725,35228109.75,40384219.33,HTM,2,6,5,0.9002,2034-09-21,6,2,-17545095,-36174686,2
INTERNAL,ID305641,16011644.01,21318801.06,AFS,2,3,2,0.0477,2031-12-26,6,2,-41484703,14659054,1
CUSIP,ID701560,16588488.95,37844152.57,AFS,2,6,2,0.7731,2029-06-15,3,1,39046664,11159774,2
SEDOL,ID815820,27806443.39,37876095.66,EQ,2,9,2,0.0557,2032-12-23,5,1,1189031,17621825,3
ISIN,ID791746,21769936.6,27298573.47,EQ,2,8,4,0.2733,2027-10-21,3,1,-16153224,36006853,3
CUSIP,ID373220,49085864.97,11756922.81,EQ,2,5,5,0.6103,2031-07-12,1,2,-3606369,41461827,1
CUSIP,ID582048,25729500.73,42683947.81,HTM,2,2,3,0.582,2030-03-16,6,1,-7881353,37171740,2
ISIN,ID335571,25750582.61,39529694.62,HTM,1,7,1,0.4759,2026-02-13,3,2,-48625365,-41866511,1
INTERNAL,ID486274,11232702.83,29678054.7,HTM,1,7,3,0.3743,2027-03-07,2,1,39353599,-23492883,2
CUSIP,ID189963,46518985.58,25007586.58,HTM,1,11,1,0.4195,2034-09-15,4,1,-21236380,-6993037,3
CUSIP,ID459661,24248133.34,40444564.54,EQ,2,8,4,0.4362,2031-01-31,2,2,-2117461,-14879349,3
SEDOL,ID851116,41516576.95,16460475.16,EQ,2,10,4,0.2696,2032-06-15,6,1,-21317349,48368402,3
CUSIP,ID127442,47466787.13,15404288.95,EQ,1,9,1,0.3409,2026-10-06,5,2,45411009,-20772559,1
CUSIP,ID671544,6464116.84,15471817.49,EQ,2,7,1,0.4479,2033-02-26,3,2,-1328483,47253541,3
SEDOL,ID788642,9277096.77,49972585.69,EQ,1,9,1,0.0177,2034-01-02,2,2,39561313,-24332495,3
CUSIP,ID673678,11799963.57,9560430.82,HTM,1,9,1,0.4954,2032-06-24,2,2,-10805841,-16631363,3
SEDOL,ID865496,23357909.75,18580274.4,EQ,1,9,3,0.5137,2027-10-23,2,1,-24262310,905479,1
INTERNAL,ID214383,13802953.95,22237388.74,EQ,2,5,3,0.208,2030-07-20,3,1,40712577,-24484829,2
INTERNAL,ID763688,23670759.92,35017655.24,AFS,1,6,2,0.0647,2034-11-20,2,2,-32859776,-37612225,1
ISIN,ID627232,25707016.12,5044646.51,EQ,1,11,4,0.0405,2027-09-11,6,1,18891520,40213347,3
ISIN,ID361878,32284418.03,16846846.98,HTM,2,3,5,0.0018,2031-04-02,2,1,19672315,-12298819,3
SEDOL,ID944915,3293470.87,25867675.39,HTM,1,11,4,0.2776,2034-05-05,5,1,-43365229,-46032168,2
INTERNAL,ID641523,3202569.82,28169250.01,AFS,1,7,5,0.0588,2029-02-13,1,2,-34967243,-9019855,2
SEDOL,ID930323,49441761.57,46339818.17,EQ,1,9,4,0.7232,2027-12-28,4,1,27013721,-12106987,1
SEDOL,ID652458,24716676.72,2972721.68,EQ,1,10,5,0.2739,2035-01-08,3,1,-6968746,17411266,2
SEDOL,ID817733,36635836.41,47170263.34,AFS,1,8,2,0.402,2026-07-14,2,1,30744372,-15162852,2
SEDOL,ID614925,44403165.52,2933557.17,AFS,1,3,2,0.6985,2028-06-13,2,1,-20925756,2005398,2
INTERNAL,ID747106,3508738.38,12511719.46,EQ,2,2,5,0.3475,2028-12-13,4,1,-6213674,3353771,1
SEDOL,ID818472,5506434.43,21193939.97,EQ,1,10,5,0.1628,2029-01-11,2,1,11484373,38391541,2
ISIN,ID973704,27971823.32,6372829.42,AFS,1,9,3,0.945,2026-09-20,1,2,-9769733,4667369,2
SEDOL,ID668514,30418580.65,12536453.08,AFS,1,11,4,0.1012,2032-09-16,2,2,-29488932,-45714782,1
CUSIP,ID633221,17263232.68,21131864.86,AFS,2,8,2,0.2474,2027-07-29,2,2,-33556312,44314565,1
CUSIP,ID191662,8351815.58,25480848.72,HTM,2,8,3,0.1228,2033-01-19,5,2,15161174,47837587,3
CUSIP,ID498771,34814906.53,39813015.08,EQ,1,4,3,0.4504,2032-04-09,5,2,1856157,-40802824,1
ISIN,ID351858,2810121.9,2906884.33,AFS,1,3,3,0.3092,2027-03-02,1,2,8766705,-14996826,1
SEDOL,ID954087,38735294.02,33515855.8,EQ,1,5,3,0.082,2029-07-28,3,2,-37969397,4172722,2
INTERNAL,ID557534,29779539.46,7397517.47,EQ,2,9,3,0.5226,2032-07-14,1,1,11392338,-2290538,1
ISIN,ID299340,2893876.81,13261854.17,HTM,2,8,5,0.7387,2033-07-06,5,1,2170462,-23018966,1
ISIN,ID811533,38943498.06,49786149.46,AFS,2,2,5,0.6004,2028-02-02,4,1,-27320429,-9562698,1
SEDOL,ID249261,15383044.81,47093850.97,HTM,2,6,1,0.5126,2028-01-12,2,1,37579364,-26903176,3
ISIN,ID335320,11654488.91,27059452.97,HTM,1,9,5,0.8047,2030-09-24,6,2,-27174067,23185389,3
SEDOL,ID708137,47850274.78,46124786.5,HTM,1,8,4,0.565,2030-12-16,2,1,23944418,35024749,3
SEDOL,ID135215,38569762.49,3003605.3,AFS,1,11,4,0.1344,2028-05-14,6,2,31580166,27871525,1
INTERNAL,ID317720,16414844.57,48392535.26,HTM,2,9,5,0.0718,2027-04-18,3,1,40106576,21645056,3
SEDOL,ID896210,8382030.55,35087951.88,EQ,2,5,3,0.1679,2025-11-08,4,1,42295132,-21951375,3
ISIN,ID200233,32291057.34,33436278.62,AFS,1,10,1,0.082,2034-09-30,5,1,-24977057,-45224962,1
SEDOL,ID143999,36088908.66,35842967.35,EQ,2,7,4,0.9586,2032-12-10,5,1,21527998,36506296,1
CUSIP,ID110731,41169876.26,25140427.72,AFS,1,8,1,0.74,2035-03-04,5,1,-30399855,-46714407,3
ISIN,ID818837,12822280.23,28778906.38,AFS,1,2,5,0.3711,2033-07-27,2,2,-2636573,-44874612,2
SEDOL,ID439017,24534695.05,46638278.47,HTM,2,6,1,0.4414,2030-10-12,4,1,-30192791,-48190712,3
ISIN,ID590259,46691953.44,29192861.77,EQ,1,7,2,0.7272,2032-12-30,6,2,-17948120,40015963,3
ISIN,ID145508,36445642.04,15866625.35,HTM,2,8,3,0.6118,2028-12-12,4,2,-19005832,32322310,3
CUSIP,ID282623,25084707.17,13369554.38,HTM,2,11,1,0.354,2027-08-23,3,2,20045201,-40233062,2
INTERNAL,ID935801,21736739.22,36988183.2,AFS,1,11,3,0.4798,2028-06-20,5,1,-32559577,-19657885,2
CUSIP,ID712657,31185190.86,18590068.25,AFS,2,7,1,0.6629,2031-06-19,2,2,35735810,24581770,3
SEDOL,ID434400,11953200.12,12955295.58,HTM,1,2,1,0.4052,2027-11-05,3,2,-48164656,-28789594,3
SEDOL,ID128617,33477395.01,46144061.29,EQ,2,4,5,0.6873,2027-01-20,4,1,23762061,34070824,2
INTERNAL,ID961019,8635598.6,24404691.73,AFS,2,6,2,0.1895,2029-03-07,4,2,-15090453,38678912,3
SEDOL,ID904250,16110070.96,7035283.02,HTM,1,11,5,0.5136,2030-01-14,3,2,3888414,-41833072,3
INTERNAL,ID776083,38921309.54,47529518.56,EQ,1,5,1,0.3811,2027-12-29,2,1,-15063128,-5413501,3
ISIN,ID768817,23461724.98,12068070.6,EQ,1,10,3,0.9274,2028-10-17,5,1,37975172,3310118,3
INTERNAL,ID522402,21860204.72,49933559.24,HTM,2,4,2,0.8318,2027-06-21,2,1,32181323,36698195,2
INTERNAL,ID307867,40686504.66,44383753.86,EQ,1,9,4,0.6521,2025-12-22,1,2,27495390,46587102,2
SEDOL,ID639209,15904409.86,19290662.13,AFS,2,10,3,0.1402,2027-09-17,3,2,26551136,40797049,3
INTERNAL,ID293054,30664443.58,32150846.8,HTM,2,9,2,0.9945,2029-08-13,1,2,-32053142,-27471969,1
CUSIP,ID313321,32679805.82,24486204.86,HTM,2,8,5,0.7311,2026-01-16,4,2,-29415373,23810435,2
ISIN,ID804931,12671716.06,29546510.16,EQ,2,9,5,0.5908,2032-12-21,5,1,-46374487,-22559573,3
CUSIP,ID817489,20175349.68,14723101.9,HTM,2,9,2,0.1616,2035-02-01,1,1,-37319239,-22989443,1
INTERNAL,ID272050,12872841.36,23832867.42,HTM,2,4,1,0.3455,2034-12-14,6,1,-19729572,8119295,1
CUSIP,ID360587,16435753.68,13604333.38,EQ,2,3,3,0.5011,2032-02-19,5,2,41804122,7866458,1
INTERNAL,ID512997,42086048.34,1334745.26,EQ,1,3,1,0.7949,2035-02-04,4,1,19353660,5281671,3
CUSIP,ID111531,5999592.16,40971587.54,EQ,2,2,1,0.6661,2034-07-01,2,1,20576735,-8192126,2
CUSIP,ID575326,16600422.09,23416130.53,EQ,2,8,3,0.7682,2031-09-14,3,1,3673765,-48614998,1
SEDOL,ID486078,49082925.36,26877018.1,HTM,2,9,1,0.5912,2029-03-30,3,1,31228335,29302972,3
INTERNAL,ID923684,26528298.08,28945030.89,AFS,1,9,1,0.5614,2034-08-29,3,1,-2062105,17643161,1
CUSIP,ID909152,29424634.65,3278716.11,HTM,2,7,4,0.8381,2027-01-04,4,1,-22240507,-35230897,3
INTERNAL,ID950213,38452689.2,32344126.32,HTM,1,6,3,0.9891,2026-10-05,1,2,44335640,5168863,1
CUSIP,ID993127,44081154.37,31086080.02,AFS,1,10,1,0.1384,2031-05-25,3,2,48263164,11747444,3
INTERNAL,ID401358,5834533.63,2315203.82,HTM,1,10,1,0.6352,2030-09-30,4,2,-3055592,45968714,1
SEDOL,ID645349,41872680.14,10669278.26,AFS,1,10,1,0.1324,2033-03-03,1,2,24070943,32575498,2
INTERNAL,ID682442,12566435.29,42172760.4,AFS,2,1,2,0.2137,2026-10-15,1,1,-2008108,-29222024,3
SEDOL,ID546046,22397909.73,32069196.64,EQ,1,11,5,0.0078,2030-12-14,6,1,23486782,-5227380,1
CUSIP,ID883512,44220045.24,45588685.86,HTM,2,4,4,0.131,2034-08-31,1,2,9087847,-11947785,1
SEDOL,ID830052,31791571.03,33551512.01,HTM,1,8,4,0.7481,2027-05-25,1,1,-30653769,21616736,1
SEDOL,ID315344,36764738.45,1741070.85,HTM,1,9,4,0.4616,2030-10-23,6,2,-25858806,-34986467,3
SEDOL,ID109218,8759642.72,38434017.49,AFS,1,6,2,0.5759,2033-05-25,3,1,49340499,-26484107,1
SEDOL,ID562301,43969437.11,9253508.24,HTM,2,4,3,0.7488,2031-11-24,1,2,-49339091,29679791,2
SEDOL,ID518865,19116923.33,4408008.06,EQ,2,2,4,0.7863,2034-02-19,2,1,-7573198,-10080891,2
INTERNAL,ID613339,20162983.75,46189989.45,AFS,1,2,2,0.8483,2033-02-01,4,1,40323111,8709091,2
ISIN,ID984852,40506183.55,35988194.41,HTM,2,4,4,0.1784,2033-08-25,3,2,30711296,17843353,3
INTERNAL,ID305982,10130827.94,40088691.58,AFS,2,11,4,0.2127,2033-01-13,2,1,35498019,-36272473,3
INTERNAL,ID191533,42026111.82,4777210.22,EQ,1,4,3,0.234,2026-08-27,6,1,-32023660,-4190405,2
INTERNAL,ID727031,44161490.74,40868348.4,EQ,2,1,4,0.6884,2030-09-27,4,1,-35557084,48024999,1
INTERNAL,ID663313,18485221.16,23937711.92,EQ,1,10,1,0.5915,2025-12-27,6,2,45669047,-35502843,2
CUSIP,ID981217,5459085.47,36813870.72,HTM,2,2,4,0.5199,2030-12-08,3,1,-38982501,-2964927,1
INTERNAL,ID984854,3857112.58,36797447.22,HTM,1,2,2,0.549,2025-04-29,6,2,22797848,-4386067,2
INTERNAL,ID850865,42584497.76,27126530.43,EQ,2,5,1,0.1091,2030-01-02,4,1,11116612,-45951407,3
ISIN,ID678422,48333216.91,41870271.33,EQ,2,5,3,0.6751,2028-09-19,3,2,-41039155,-21115849,2
INTERNAL,ID395608,16776392.29,48955349.86,EQ,2,10,4,0.908,2030-05-17,2,1,-6896446,12283201,3
CUSIP,ID954954,41301457.03,49780961.12,AFS,1,10,3,0.8487,2030-12-31,2,1,4224553,-28946758,1
ISIN,ID165723,24416505.53,34120261.47,AFS,1,3,2,0.751,2033-05-08,2,1,-32713212,-49878991,3
INTERNAL,ID182150,21150389.5,35968536.49,EQ,1,9,4,0.9662,2026-05-25,6,1,24710502,14196609,2
SEDOL,ID462106,41648525.22,3023167.31,HTM,1,4,5,0.6785,2031-05-04,6,2,26432735,-41963960,3
INTERNAL,ID102764,12050476.6,44947828.49,HTM,1,2,1,0.7552,2027-05-27,6,1,-33623174,-41973127,1
CUSIP,ID830699,45803016.24,33021173.81,HTM,1,3,2,0.9709,2027-10-24,4,1,-37233892,-9609345,1
CUSIP,ID858395,48178507.37,36732978.62,EQ,2,10,2,0.4081,2031-06-27,5,1,-24991300,46087341,3
INTERNAL,ID880502,45877266.6,15277097.96,AFS,1,3,4,0.1231,2028-05-01,2,1,7279716,44279619,2
SEDOL,ID830470,20876769.01,30977817.64,EQ,2,4,4,0.7814,2028-03-03,2,2,44117249,26730334,3
CUSIP,ID144628,39785127.89,43094813.78,EQ,2,8,1,0.4138,2031-06-24,4,2,26966122,2475702,1
ISIN,ID321651,11856132.46,4997877.39,AFS,2,8,4,0.3178,2030-01-10,5,2,10370341,-9324254,2
ISIN,ID177920,20023877.67,6796618.04,EQ,1,8,3,0.988,2028-10-03,4,1,-38187504,-6917946,2
INTERNAL,ID343769,30809798.28,25472215.22,HTM,2,4,2,0.562,2029-07-23,3,2,-41366566,28946427,3
SEDOL,ID482875,36863957.62,32795799.28,HTM,2,8,4,0.4498,2035-03-01,1,2,-6497391,-31854777,2
CUSIP,ID221569,48772761.26,30751299.92,HTM,2,1,1,0.0044,2025-12-13,5,2,18784932,-15317463,3
CUSIP,ID951353,28440753.91,15331206.42,EQ,1,7,4,0.4794,2031-12-11,3,2,32798831,-15767899,3
ISIN,ID515798,42426358.61,6560402.99,HTM,1,2,4,0.5852,2030-06-22,2,2,40955583,-1317777,1
CUSIP,ID262036,41958307.44,45620301.71,EQ,2,11,4,0.1356,2035-02-12,4,1,6539500,13654122,2
INTERNAL,ID521330,14212279.64,33503241.87,EQ,1,2,5,0.3327,2031-07-07,2,1,232018,39150688,2
SEDOL,ID922446,42620369.56,1609642.13,EQ,1,7,3,0.9113,2034-10-29,1,1,44830165,-33081032,2
CUSIP,ID893849,32470461.84,38754227.1,HTM,1,11,4,0.0164,2028-08-02,3,2,8483570,-39033632,3
CUSIP,ID765349,25296239.19,49768030.78,EQ,2,4,2,0.0748,2029-05-23,5,1,-11431638,12160852,3
ISIN,ID217319,25128208.68,49038382.27,HTM,1,1,2,0.4815,2031-02-01,5,1,-2692874,-21645952,3
INTERNAL,ID199791,37238489.71,27630711.57,AFS,1,7,1,0.0831,2031-09-10,6,2,-27306043,-18777104,1
CUSIP,ID442125,5956852.19,18891739.2,EQ,1,7,4,0.3494,2027-08-28,5,2,-48930525,46548488,3
INTERNAL,ID960092,11465544.24,47891562.36,EQ,1,7,5,0.3618,2034-03-16,3,1,15766239,6444896,2
CUSIP,ID521211,26794460.92,35159087.75,HTM,1,9,1,0.2705,2026-01-13,5,2,46355412,-38960080,2
INTERNAL,ID447647,48710607.27,9128856.46,HTM,1,1,1,0.0553,2030-01-11,6,2,42069608,-13687100,2
ISIN,ID197239,15876874.26,7929015.44,HTM,1,1,4,0.6384,2032-01-07,2,2,30287482,31426262,2
ISIN,ID684704,10999476.58,44593580.65,EQ,1,3,5,0.0102,2030-07-22,4,1,15301128,-38029086,3
SEDOL,ID696109,3035266.09,28544464.35,AFS,2,10,5,0.6058,2027-01-12,4,1,-7814427,5050398,3
SEDOL,ID823891,25745258.02,29143689.22,EQ,2,11,2,0.6791,2028-05-11,2,2,20289285,42233269,2
SEDOL,ID682270,36893486.24,24326952.12,HTM,1,3,5,0.2364,2030-11-27,1,2,7014234,4553362,2
